,vmPFC,vSTR,PCC,ACC,M1,V1,EC,MT,whole_brain
1,-0.202700868182974,-0.3537823689196124,0.22675201975953355,0.2791906331435866,-0.39023545383700264,-0.5260440817437256,0.02244261974042409,-0.19908645524234148,-0.21215728697418582
2,-0.15865542580664194,-0.3443085524443644,0.2983235795915391,0.13530922102072376,-0.19739403968182184,-0.3254555552254928,0.04291764936818046,-0.04892930416306426,-0.06996410891896075
3,-0.3943696648934022,-0.22928934582961066,0.27643850528112535,0.15699208124510355,-0.4849673766469556,-0.5993500224276289,-0.06729431506013996,-0.4259871477444693,-0.18809399261846674
4,-0.146181669871545,-0.15536324411889313,0.1014522215990529,-0.14350114115711615,0.13329564692861445,-0.1396169373030008,0.12517480530254108,0.04868316252641049,-0.041131988374114574
5,-0.08160022494066656,-0.40629893244260473,-0.15237018615523718,-0.25143192433644046,-0.1433756765780323,-0.310594971310548,-0.3169071125388188,-0.00903855756661728,-0.2390528708242784
6,0.031078591976257085,-0.2944869531904289,-0.11707523950239697,-0.20488020094055295,-0.16243697255081208,-0.28141952862090325,0.17513084153531186,-0.031284436669307684,-0.14153541113612114
7,-0.05268664588707692,0.11232514321708681,0.3069154938797528,0.15002771340189694,0.0799910322786984,-0.3718475526967308,-0.06200881185548724,-0.042766174202440506,-0.0618435792221012
8,0.17802182890414156,-0.07658483763348997,-0.13158596307128634,-0.13741366740797623,-0.03408028802705846,0.0540525179835885,0.04020960921770691,0.30153111150461087,0.03904540197558856
9,0.03902233647047276,-0.10052357965628958,-0.02108065221238754,-0.11608881272646708,0.109969714180407,0.12493717794037895,0.1616269082567837,0.2900587437421235,0.07183349847376681
10,-0.15946049194783934,-0.10475681624740482,-0.03386419923499697,0.12046529586516443,0.04472159849619112,0.11954613456106532,0.13024217354752696,0.3697079945414808,0.10150558985791337
11,-0.1458301153187438,-0.27512225270310314,-0.25230856734553925,-0.08997731595363477,-0.1550829109534389,-0.10126354795089208,0.07561149576578685,-0.03642349261087354,-0.20484984857483185
12,-0.3401809846880981,-0.0680022337769334,-0.29618056214500055,-0.33278585051133514,-0.25097074980056827,-0.11055023216562254,-0.2946634636614432,-0.06539703080810282,-0.26335749023493277
13,-0.4113599987016243,-0.13626472683151955,-0.11673811923306147,-0.23307568873485726,-0.049728275480616174,0.1325487488720961,-0.3139561208796207,-0.0607080417487435,-0.04332217680408472
14,-0.27519137124755094,-0.15899793898514658,-0.2475781733423221,-0.15569672771752407,-0.18272015016655818,-0.19601286441290625,-0.4987013082782023,-0.29008573385356906,-0.2958714244302539
15,0.007622762711024075,0.40068533820084656,-0.023603418915274472,0.09339625844036015,0.051322092721012645,0.09560081328061742,0.18472965284850842,0.016289718401355142,0.016844536831332253
16,-0.02763720183934891,0.006884970905241702,-0.24729886339842141,-0.14092538725565518,0.12286805912141553,0.06372413824873692,-0.06938443431254603,-0.2101090044227571,-0.012605099812838319
17,-0.19628920289561402,-0.014321733966161236,-0.5768839324007258,-0.39295670008724454,0.041619453090224426,0.004142378260763752,0.22653989871461178,-0.06849856758238773,-0.18553597071497538
18,0.02904190687832524,0.3959349751026975,0.159371948585658,-0.060419588359231495,0.12733828888440749,0.252716685881156,0.06016612072142447,0.218218832586307,0.19732576387566764
19,0.19372891163277461,-0.01121965547121369,-0.00861958805799128,-0.05274319503247833,0.09652289660765231,0.07050329399135939,0.17957415085575928,0.03736067874903154,0.07537755284952856
20,0.07592748639255255,-0.044962144811075085,-0.1747332044151008,-0.13923557181931148,0.21280793897679431,0.11334545860857272,0.1479200489063045,0.06199263442245034,0.13615096477261113
21,0.13148652408804984,-0.04570384381002864,-0.16175128890836013,-0.20292289487584445,0.029927304336602734,0.1973117406029801,-0.026419792168019256,0.019547271227944536,-0.09322187946417038
22,0.19335890080004983,-0.0006397824062436389,0.22728098462714882,0.07642627665819943,0.15405545880916527,0.26787442829950514,-0.20441428568820252,-0.047444580032807215,0.10968397191804846
23,-0.16382964985975884,-0.1713751248919452,-0.7014301803026766,-0.3536907392660122,-0.18459600392889772,-0.21373432369257142,-0.10640813218101912,-0.1367754601206012,-0.2119102124851476
24,-0.27751139294492455,-0.17525085895130907,0.12468327968986705,-0.07770061594060067,-0.18289644802022398,-0.16789686402699885,-0.2804938700035483,-0.03997419765587561,-0.20212038655826592
25,0.18932335562529878,0.1973125174129171,-0.023305694621024692,0.10658600531060593,0.19554216266735064,0.1594635921302937,0.060083882055940264,0.14542113493032516,0.12957929428743653
26,0.19300777742439423,0.025732188166731885,0.1383710401324263,0.04058959849217084,0.12016435627646427,-0.07435950697291277,-0.21396605911927863,0.062290684777293624,0.07037637483084307
27,0.5321507775457889,0.41376208767065853,0.13803668655970344,0.25029445971578673,0.30779142624327316,0.25724980204859405,0.09702226440911614,0.2465819017865917,0.3123428804968409
28,0.7110559943121443,0.7868700145555299,0.6879875660882656,0.7726249672727661,0.19284430984982556,0.5913190319071793,0.3559685370078695,0.07209812508809009,0.5565132904337021
29,-0.04631322485625383,0.11718935717917647,0.1438798545092945,0.2073521847219439,0.00585670463653282,0.26920969404927253,-0.05506522667837539,-0.06984501102568531,0.0921736327288141
30,0.10252539793526605,-0.13170845138622503,0.10652510579170306,0.07603537104951291,0.0658284271822178,0.054605162210594395,0.07816810644792788,-0.16189797644446227,0.0848474168779093
31,0.4724455811855237,0.8422667860627157,0.350389547166733,0.6201559557844614,0.3260174743851358,0.5899951896731798,0.3461541677229776,0.05446917761009085,0.47297355693772464
