,WTP_target,WTP_competitor,WTP_decoy
1,25.87878787878788,31.32782369146005,23.71857923497268
2,28.165300546448087,30.79371584699453,12.112021857923498
3,26.717213114754102,31.32782369146005,14.277322404371589
4,31.32782369146005,26.407713498622588,4.5633608815427
5,26.407713498622588,36.76308539944903,26.717213114754102
6,19.234159779614323,11.85792349726776,3.508196721311476
7,28.165300546448087,32.078512396694215,23.71857923497268
8,42.9808743169399,46.6775956284153,41.96969696969697
9,28.165300546448087,30.595628415300546,25.65977961432507
10,26.86065573770492,26.717213114754102,23.58677685950413
11,26.86065573770492,32.17213114754099,25.383879781420767
12,5.64344262295082,7.404371584699454,5.5
13,23.58677685950413,26.407713498622588,19.2172131147541
14,8.484848484848484,8.128415300546449,7.316939890710383
15,25.87878787878788,28.165300546448087,23.71857923497268
16,30.79371584699453,26.407713498622588,12.112021857923498
17,7.316939890710383,4.5633608815427,5.5
18,36.76308539944903,11.85792349726776,25.383879781420767
19,41.96969696969697,32.17213114754099,23.58677685950413
20,14.277322404371589,7.404371584699454,7.316939890710383
21,19.234159779614323,23.58677685950413,8.128415300546449
22,12.112021857923498,14.277322404371589,11.85792349726776
23,8.484848484848484,7.404371584699454,5.5
24,32.17213114754099,41.96969696969697,11.85792349726776
25,25.383879781420767,25.65977961432507,8.128415300546449
26,32.17213114754099,32.078512396694215,25.87878787878788
27,7.316939890710383,5.64344262295082,7.404371584699454
