roi,r2,label
schaefer_1,0.016875201313679367,1
schaefer_2,0.04140898743243393,2
schaefer_3,0.044852077260265966,3
schaefer_4,-0.08747873009743312,4
schaefer_5,-0.10047678433147933,5
schaefer_6,0.09051781438593587,6
schaefer_7,0.16569581243982723,7
schaefer_8,-0.05415435266562385,8
schaefer_9,0.03705687055550777,9
schaefer_10,-0.016880420780152283,10
schaefer_11,0.08496953499557569,11
schaefer_12,0.20882915062421803,12
schaefer_13,0.21808894597943518,13
schaefer_14,0.047771808713170105,14
schaefer_15,0.09718061934581879,15
schaefer_16,0.11366011514357233,16
schaefer_17,0.27826305882974256,17
schaefer_18,0.009089807128994987,18
schaefer_19,0.08367316541305081,19
schaefer_20,0.21179532628030406,20
schaefer_21,0.2838921726269359,21
schaefer_22,-0.12499497858009812,22
schaefer_23,0.06980466642565042,23
schaefer_24,0.1642123250841061,24
schaefer_25,-0.06857686488385362,25
schaefer_26,-0.045768087950744496,26
schaefer_27,0.15940030348351608,27
schaefer_28,-0.023380923559075617,28
schaefer_29,0.37301872708695105,29
schaefer_30,-0.07337812936997401,30
schaefer_31,-0.11332727993566638,31
schaefer_32,0.07274883961315459,32
schaefer_33,-0.08508969846058934,33
schaefer_34,0.01155064121589544,34
schaefer_35,0.03801718170303936,35
schaefer_36,0.06312653018868686,36
schaefer_37,0.03419218290810011,37
schaefer_38,-0.07025843165464862,38
schaefer_39,-0.06261499539007875,39
schaefer_40,-0.12350705850522248,40
schaefer_41,0.08258987836322929,41
schaefer_42,0.03719432115215293,42
schaefer_43,-0.014970298727214892,43
schaefer_44,0.05570442007524534,44
schaefer_45,0.06993617551446618,45
schaefer_46,-0.04269165166147548,46
schaefer_47,0.0024255033862563558,47
schaefer_48,-0.04008473199239537,48
schaefer_49,0.06560136780505632,49
schaefer_50,-0.05739800314866761,50
schaefer_51,-0.0024478303644341892,51
schaefer_52,-0.11145694818059515,52
schaefer_53,0.09326961234297626,53
schaefer_54,-0.06797910144088037,54
schaefer_55,-0.03794168991286995,55
schaefer_56,0.28156778237049684,56
schaefer_57,-0.06566308850861424,57
schaefer_58,-0.026040820114119345,58
schaefer_59,0.07564045955590115,59
schaefer_60,0.027836827663892283,60
schaefer_61,0.1653174850836613,61
schaefer_62,0.15964636407155597,62
schaefer_63,0.18955731518813934,63
schaefer_64,-0.032390632468007885,64
schaefer_65,0.10051154893403802,65
schaefer_66,0.05637962093777926,66
schaefer_67,0.03394271774896129,67
schaefer_68,0.020650575546477423,68
schaefer_69,0.00693458149712789,69
schaefer_70,0.19094525934641227,70
schaefer_71,-0.031465256872541536,71
schaefer_72,-0.013607510462044337,72
schaefer_73,0.2681975442609431,73
schaefer_74,0.448138513079144,74
schaefer_75,0.2528267644780897,75
schaefer_76,0.09448410792864337,76
schaefer_77,0.17911987465360057,77
schaefer_78,0.29604667346342617,78
schaefer_79,-0.10324987849912182,79
schaefer_80,-0.022660739772783156,80
schaefer_81,-0.051648069979254974,81
schaefer_82,0.08780225791584728,82
schaefer_83,-0.002735218128852912,83
schaefer_84,0.0571364731665468,84
schaefer_85,-0.057248500409226466,85
schaefer_86,0.06250921424837796,86
schaefer_87,0.020728399167435407,87
schaefer_88,0.024081501669871663,88
schaefer_89,0.08571089116940422,89
schaefer_90,0.05694193624330135,90
schaefer_91,-0.003485360855126851,91
schaefer_92,-0.09339829665898103,92
schaefer_93,-0.10528402813328919,93
schaefer_94,-0.10245922175001487,94
schaefer_95,-0.06304099970099752,95
schaefer_96,-0.1028256763751374,96
schaefer_97,0.002733754660050214,97
schaefer_98,-0.05730689229103825,98
schaefer_99,-0.07086935175776099,99
schaefer_100,-0.002807900213635195,100
