,UID,Date,Group,Female,RightHanded,Glasses,Age
0,032,2024-06-20,Binary,0.0,1.0,0.0,29.0
1,033,2024-06-23,Trinary,1.0,0.0,0.0,23.0
2,034,2024-06-23,Binary,1.0,1.0,0.0,24.0
3,035,2024-06-23,Trinary,1.0,0.0,0.0,26.0
4,036,2024-06-27,Binary,1.0,1.0,0.0,22.0
5,037,2024-06-27,Trinary,0.0,1.0,1.0,27.0
6,038,2024-07-01,Binary,1.0,1.0,0.0,25.0
7,039,2024-07-01,Trinary,0.0,0.0,0.0,25.0
8,040,2024-07-02,Binary,1.0,1.0,1.0,21.0
9,041,2024-07-03,Trinary,0.0,0.0,1.0,25.0
10,042,2024-07-04,Binary,0.0,1.0,0.0,27.0
11,043,2024-07-08,Trinary,1.0,0.0,0.0,25.0
12,044,2024-07-09,Binary,0.0,1.0,0.0,18.0
13,045,2024-07-10,Trinary,1.0,1.0,1.0,21.0
14,046,2024-07-14,Binary,1.0,1.0,1.0,23.0
15,047,2024-07-16,Trinary,1.0,0.0,0.0,28.0
16,048,2024-07-17,Binary,0.0,1.0,0.0,24.0
17,049,2024-07-18,Trinary,0.0,1.0,0.0,28.0
18,050,2024-07-19,Binary,1.0,0.0,1.0,22.0
19,051,2024-07-21,Trinary,1.0,1.0,1.0,23.0
20,052,2024-07-22,Binary,0.0,1.0,0.0,29.0
21,053,2024-07-23,Trinary,0.0,0.0,1.0,28.0
22,054,2024-07-24,Binary,1.0,1.0,0.0,27.0
23,055,2024-07-25,Trinary,1.0,1.0,0.0,22.0
24,056,2024-07-30,Binary,0.0,0.0,0.0,31.0
25,057,2024-07-30,Trinary,1.0,1.0,1.0,26.0
26,058,2024-08-01,Binary,1.0,1.0,0.0,23.0
27,059,2024-08-04,Trinary,0.0,1.0,0.0,30.0
28,060,2024-08-05,Binary,1.0,1.0,1.0,23.0
29,061,2024-08-05,Trinary,1.0,1.0,0.0,29.0
30,062,2024-08-05,Binary,1.0,1.0,0.0,25.0
31,063,2024-08-06,Trinary,0.0,1.0,1.0,19.0
32,064,2024-08-07,Binary,1.0,1.0,0.0,28.0
33,065,2024-08-13,Trinary,1.0,1.0,0.0,24.0
34,067,2024-08-15,Trinary,0.0,1.0,0.0,22.0
35,068,2024-08-18,Binary,1.0,0.0,0.0,26.8
36,069,2024-08-19,Trinary,1.0,1.0,0.0,25.0
37,070,2024-08-21,Binary,1.0,1.0,1.0,23.0
39,066,2024-08-13,Binary,1.0,1.0,0.0,27.0
